id,anger,frustration,disappointment,helplessness,anxiety,split,n_emotions,cv_fold
TA001,1,1,0,0,0,train,2,1.0
TA002,0,0,1,0,0,train,1,1.0
TA003,0,1,1,1,0,train,3,5.0
TA004,0,1,1,0,0,train,2,4.0
TA005,0,0,1,0,1,test,2,
TA006,1,0,0,0,0,train,1,3.0
TA007,1,0,0,0,0,test,1,
TA008,1,0,0,0,0,train,1,5.0
TA009,1,0,0,0,0,train,1,4.0
TA010,1,0,0,0,0,train,1,4.0
TA011,1,0,1,0,0,train,2,2.0
TA012,1,1,1,0,0,train,3,4.0
TA013,1,1,0,0,0,test,2,
TA014,1,1,0,0,0,train,2,1.0
TA015,0,1,1,0,1,train,3,3.0
TA016,1,0,0,1,0,test,2,
TA017,1,1,0,0,0,test,2,
TA018,0,1,0,0,1,train,2,2.0
TA019,0,0,1,0,0,train,1,2.0
TA020,1,1,0,0,0,train,2,1.0
TA021,1,1,0,0,0,train,2,4.0
TA022,0,1,0,0,0,train,1,4.0
TA023,1,0,0,0,0,train,1,2.0
TA024,1,1,1,1,0,train,4,4.0
TA025,1,0,0,1,0,train,2,4.0
TA026,1,0,0,0,0,train,1,5.0
TA027,1,0,1,0,0,train,2,1.0
TA028,0,0,1,0,0,train,1,4.0
TA029,1,1,0,0,0,train,2,2.0
TA030,0,0,0,1,0,train,1,5.0
TA031,1,1,0,0,0,train,2,3.0
TA032,1,0,1,0,0,train,2,1.0
TA033,1,1,1,0,0,train,3,3.0
TA034,0,1,1,0,1,train,3,4.0
TA035,1,0,0,0,0,train,1,4.0
TA036,0,1,0,0,0,train,1,3.0
TA037,0,0,1,0,0,test,1,
TA038,0,1,0,0,0,train,1,4.0
TA039,0,0,1,0,0,train,1,1.0
TA040,1,0,0,1,0,train,2,5.0
TA041,0,0,1,0,0,train,1,1.0
TA042,0,1,0,0,0,test,1,
TA043,1,0,0,0,0,train,1,3.0
TA044,1,1,1,0,0,train,3,3.0
TA045,1,0,1,0,0,train,2,5.0
TA046,1,1,1,0,0,train,3,1.0
TA047,1,1,0,0,1,test,3,
TA048,0,0,1,0,0,train,1,5.0
TA049,0,0,1,0,0,train,1,4.0
TA050,1,1,0,0,0,train,2,3.0
TA051,1,0,0,0,1,train,2,5.0
TA052,1,1,1,0,0,train,3,4.0
TA053,1,0,0,0,0,train,1,2.0
TA054,0,0,1,0,0,test,1,
TA055,1,0,1,1,0,train,3,1.0
TA056,0,1,0,0,1,train,2,4.0
TA057,0,1,1,0,0,train,2,3.0
TA058,0,1,0,0,1,train,2,1.0
TA059,0,1,1,0,0,train,2,5.0
TA060,0,0,0,0,1,train,1,3.0
TA061,0,1,0,0,0,train,1,3.0
TA062,0,0,0,1,0,test,1,
TA063,0,0,1,0,0,train,1,4.0
TA064,0,0,1,0,0,train,1,2.0
TA065,1,0,0,0,0,train,1,3.0
TA066,1,0,0,0,0,train,1,1.0
TA067,0,0,0,0,1,train,1,3.0
TA068,0,0,1,0,0,train,1,1.0
TA069,1,0,1,0,0,train,2,3.0
TA070,0,0,1,0,1,train,2,2.0
TA071,0,0,1,0,0,train,1,4.0
TA072,1,0,0,1,0,train,2,2.0
TA073,1,0,0,0,1,train,2,2.0
TA074,0,0,1,0,0,test,1,
TA075,1,1,0,0,1,train,3,1.0
TA076,0,0,1,0,0,train,1,5.0
TA077,1,0,1,1,1,train,4,3.0
TA078,0,0,1,0,0,train,1,3.0
TA079,1,0,0,0,0,train,1,5.0
TA080,0,1,0,0,0,train,1,2.0
TA081,1,0,1,0,0,train,2,2.0
TA082,1,1,1,0,0,train,3,5.0
TA083,0,0,0,0,1,test,1,
TA084,1,1,1,0,1,test,4,
TA085,1,0,0,0,0,train,1,2.0
TA086,0,0,1,0,0,train,1,3.0
TA087,1,1,0,0,0,train,2,2.0
TA088,0,0,1,0,0,train,1,3.0
TA089,0,0,1,0,0,train,1,5.0
TA090,1,1,1,0,0,train,3,5.0
TA091,1,0,0,0,0,train,1,3.0
TA092,1,1,0,0,0,train,2,1.0
TA093,1,0,0,0,0,train,1,5.0
TA094,1,0,0,0,0,train,1,3.0
TA095,0,1,0,0,1,test,2,
TA096,1,0,0,0,0,train,1,4.0
TA097,0,1,0,0,0,train,1,3.0
TA098,1,1,0,0,0,test,2,
TA099,0,1,0,0,0,test,1,
TA100,0,0,1,0,0,test,1,
TA101,1,0,0,0,0,train,1,1.0
TA102,1,0,0,0,1,train,2,5.0
TA103,0,1,0,0,0,train,1,2.0
TA104,0,0,1,1,1,train,3,1.0
TA105,1,0,0,0,0,train,1,5.0
TA106,0,1,1,0,0,train,2,4.0
TA107,0,0,1,0,0,train,1,3.0
TA108,1,0,1,0,0,train,2,2.0
TA109,1,1,0,0,0,train,2,5.0
TA110,0,1,0,0,0,test,1,
TA111,1,1,1,0,0,test,3,
TA112,0,1,0,0,0,train,1,5.0
TA113,0,0,1,0,1,train,2,3.0
TA114,1,1,1,1,0,train,4,2.0
TA115,0,0,0,1,0,test,1,
TA116,0,1,1,0,0,train,2,5.0
TA117,0,0,0,1,0,test,1,
TA118,0,1,1,0,0,train,2,1.0
TA119,0,0,1,0,0,train,1,2.0
TA120,0,0,1,1,0,test,2,
TA121,1,0,0,0,0,train,1,3.0
TA122,1,0,0,0,1,train,2,5.0
TA123,1,0,0,0,0,test,1,
TA124,0,1,1,0,0,train,2,5.0
TA125,1,0,0,0,1,test,2,
TA126,1,1,1,1,0,train,4,5.0
TA127,1,0,0,1,0,train,2,1.0
TA128,0,0,1,1,0,train,2,3.0
TA129,1,1,1,0,0,test,3,
TA130,1,1,0,0,0,test,2,
TA131,1,0,0,0,1,train,2,3.0
TA132,0,0,1,0,0,train,1,2.0
TA133,0,1,0,0,0,train,1,5.0
TA134,0,1,1,1,0,train,3,5.0
TA135,0,1,1,0,0,train,2,1.0
TA136,0,1,1,0,0,test,2,
TA137,1,0,1,0,1,test,3,
TA138,1,0,0,0,0,train,1,2.0
TA139,0,1,0,0,1,train,2,5.0
TA140,1,0,1,0,0,train,2,3.0
TA141,0,0,0,1,0,train,1,2.0
TA142,1,0,0,0,0,test,1,
TA143,0,0,1,0,1,test,2,
TA144,1,0,0,0,0,train,1,5.0
TA145,1,1,0,0,0,train,2,5.0
TA146,0,0,1,0,0,train,1,5.0
TA147,0,0,0,0,1,train,1,4.0
TA148,1,1,0,0,0,train,2,3.0
TA149,1,0,0,0,0,train,1,5.0
TA150,1,0,1,0,0,train,2,4.0
CF001,0,1,1,1,1,test,4,
CF002,1,0,0,0,1,train,2,4.0
CF003,1,1,0,1,0,train,3,3.0
